id	date	owner_id	from_id	likes	reposts
3267	1385995554	-47535294	589940631	4	0
3266	1385985838	-47535294	709327473	3	0
3265	1385974224	-47535294	194378745	0	0
3264	1385972905	-47535294	194378745	0	0
3263	1385967139	-47535294	10731911	9	3
3262	1385964076	-47535294	589940631	0	0
3261	1385928817	-47535294	194378745	0	0
3258	1385882627	-47535294	194378745	3	1
3257	1385882584	-47535294	194378745	0	0
3255	1385815720	-47535294	10731911	8	1
3253	1385791899	-47535294	194378745	2	0
3252	1385746037	-47535294	709327473	18	0
3251	1385746024	-47535294	194378745	2	1
3250	1385734370	-47535294	589940631	11	1
3249	1385734268	-47535294	30680018	0	0
3248	1385734052	-47535294	194378745	1	1
3247	1385733760	-47535294	589940631	5	1
3246	1385727830	-47535294	589940631	6	0
3244	1385720580	-47535294	10731911	4	0
3242	1385709480	-47535294	10731911	3	0
3240	1385708737	-47535294	709327473	2	1
3239	1385708681	-47535294	194378745	1	0
3238	1385708601	-47535294	709327473	2	1
3237	1385708349	-47535294	36690141	4	2
3236	1385708048	-47535294	589940631	3	0
3235	1385704396	-47535294	194378745	2	2
3234	1385704380	-47535294	194378745	1	0
3232	1385665616	-47535294	194378745	1	0
3231	1385646386	-47535294	709327473	5	0
3230	1385646370	-47535294	194378745	8	1
3229	1385646339	-47535294	709327473	2	0
3228	1385626951	-47535294	10731911	1	0
3227	1385623626	-47535294	10731911	3	0
3226	1385578890	-47535294	589940631	2	0
3225	1385562249	-47535294	589940631	1	0
3224	1385553452	-47535294	709327473	3	1
3223	1385550774	-47535294	589940631	8	2
3222	1385550764	-47535294	709327473	1	1
3221	1385550747	-47535294	589940631	0	0
3220	1385550107	-47535294	709327473	0	0
3219	1385548127	-47535294	10731911	6	3
3218	1385545578	-47535294	10731911	17	5
3217	1385543860	-47535294	589940631	1	0
3216	1385542071	-47535294	709327473	1	0
3215	1385542058	-47535294	194378745	0	0
3214	1385542033	-47535294	589940631	1	1
3213	1385530513	-47535294	589940631	0	0
3211	1385489044	-47535294	589940631	6	3
3210	1385488613	-47535294	10731911	18	8
3208	1385485456	-47535294	194378745	15	8
3207	1385485342	-47535294	589940631	0	0
3206	1385485105	-47535294	709327473	3	0
3205	1385481376	-47535294	10731911	2	0
3204	1385479227	-47535294	10731911	3	0
3203	1385478488	-47535294	23401197	5	0
3202	1385477289	-47535294	10731911	1	0
3201	1385475581	-47535294	10731911	4	0
3199	1385471704	-47535294	10731911	9	0
3198	1385471338	-47535294	194378745	0	0
3197	1385468389	-47535294	589940631	2	1
3196	1385455137	-47535294	709327473	6	1
3195	1385453888	-47535294	589940631	5	1
3194	1385449881	-47535294	194378745	2	0
3193	1385445308	-47535294	709327473	2	0
3192	1385445269	-47535294	709327473	7	1
3191	1385404065	-47535294	589940631	4	0
3190	1385393600	-47535294	709327473	1	0
3189	1385393335	-47535294	709327473	6	0
3188	1385382176	-47535294	589940631	4	2
3187	1385379397	-47535294	589940631	1	0
3185	1385374020	-47535294	709327473	0	0
3184	1385368758	-47535294	10731911	3	0
3183	1385368392	-47535294	589940631	0	0
3182	1385368036	-47535294	10731911	7	2
3181	1385368000	-47535294	29594739	30	1
3180	1385367990	-47535294	29594739	1	0
3179	1385367490	-47535294	589940631	52	5
3177	1385363994	-47535294	589940631	0	0
3176	1385362494	-47535294	589940631	1	0
3175	1385360650	-47535294	194378745	11	2
3174	1385360630	-47535294	709327473	0	0
3173	1385360296	-47535294	194378745	7	0
3169	1385319025	-47535294	589940631	12	0
3167	1385315019	-47535294	709327473	2	0
3161	1385228886	-47535294	709327473	3	0
3160	1385198426	-47535294	709327473	6	0
3159	1385186181	-47535294	10731911	3	0
3158	1385133415	-47535294	709327473	4	0
3156	1385108334	-47535294	589940631	0	0
3155	1385108008	-47535294	194378745	0	0
3154	1385104251	-47535294	709327473	3	1
3153	1385098815	-47535294	589940631	4	0
3152	1385098649	-47535294	589940631	1	0
3151	1385098645	-47535294	194378745	0	0
3150	1385059185	-47535294	589940631	1	0
3148	1385047840	-47535294	709327473	6	1
3147	1385042671	-47535294	709327473	0	0
3146	1385040456	-47535294	709327473	0	0
3145	1385040411	-47535294	589940631	1	1
3144	1385038422	-47535294	10731911	12	4
3143	1385037651	-47535294	589940631	0	0
3142	1385037638	-47535294	589940631	2	0
3141	1385037434	-47535294	194378745	2	0
3140	1385025180	-47535294	194378745	7	1
3139	1385020239	-47535294	10731911	2	0
3138	1385007267	-47535294	589940631	4	0
3136	1384969636	-47535294	194378745	0	1
3134	1384965873	-47535294	589940631	2	0
3133	1384960924	-47535294	194378745	19	0
3131	1384951462	-47535294	45175299	2	1
3130	1384951417	-47535294	709327473	0	0
3129	1384951356	-47535294	589940631	0	0
3128	1384951315	-47535294	709327473	6	3
3127	1384950813	-47535294	194378745	1	0
3126	1384950595	-47535294	709327473	3	1
3125	1384930124	-47535294	709327473	6	0
3122	1384889848	-47535294	194378745	2	5
3119	1384882665	-47535294	194378745	2	0
3118	1384880179	-47535294	709327473	1	0
3117	1384880164	-47535294	589940631	1	0
3116	1384873196	-47535294	10731911	6	0
3115	1384869646	-47535294	709327473	3	0
3114	1384865051	-47535294	194378745	8	0
3113	1384862545	-47535294	194378745	1	1
3112	1384862506	-47535294	709327473	3	1
3111	1384861996	-47535294	194378745	2	0
3110	1384860792	-47535294	589940631	1	0
3109	1384853285	-47535294	709327473	0	0
3108	1384850207	-47535294	709327473	0	0
3107	1384846820	-47535294	10731911	6	0
3104	1384791096	-47535294	194378745	1	0
3102	1384786641	-47535294	709327473	3	0
3100	1384777880	-47535294	10731911	15	5
3099	1384760134	-47535294	589940631	1	0
3098	1384759385	-47535294	709327473	0	0
3097	1384758498	-47535294	194378745	1	0
3095	1384750712	-47535294	589940631	2	0
3093	1384701857	-47535294	194378745	3	2
3092	1384701757	-47535294	589940631	1	0
3091	1384592950	-47535294	589940631	0	0
3090	1384592935	-47535294	589940631	0	0
3089	1384592927	-47535294	589940631	1	0
3088	1384592913	-47535294	589940631	1	0
3087	1384592668	-47535294	73659115	1	0
3086	1384592630	-47535294	194378745	2	0
3085	1384580968	-47535294	589940631	0	0
3084	1384538640	-47535294	194378745	0	0
3083	1384532190	-47535294	10731911	3	0
3082	1384529933	-47535294	10731911	2	0
3081	1384527455	-47535294	589940631	5	0
3080	1384526918	-47535294	709327473	10	3
3078	1384518385	-47535294	589940631	1	0
3077	1384517765	-47535294	709327473	2	0
3076	1384517531	-47535294	10731911	3	0
3075	1384516728	-47535294	194378745	0	0
3074	1384514237	-47535294	709327473	1	0
3073	1384513838	-47535294	589940631	1	1
3072	1384512904	-47535294	589940631	0	0
3071	1384512884	-47535294	194378745	0	0
3070	1384512858	-47535294	709327473	1	1
3069	1384512647	-47535294	194378745	0	0
3068	1384512336	-47535294	709327473	0	0
3067	1384512321	-47535294	709327473	0	0
3066	1384508207	-47535294	589940631	10	1
3065	1384499740	-47535294	10731911	8	1
3064	1384499356	-47535294	589940631	4	1
3058	1384440150	-47535294	10731911	31	0
3057	1384437060	-47535294	194378745	0	0
3056	1384423065	-47535294	194378745	0	0
3055	1384417378	-47535294	10731911	1	0
3054	1384415337	-47535294	709327473	0	0
3053	1384412669	-47535294	194378745	21	5
3052	1384394656	-47535294	589940631	3	0
3050	1384361670	-47535294	10731911	3	0
3049	1384358421	-47535294	10731911	5	0
3047	1384353162	-47535294	589940631	1	0
3046	1384353113	-47535294	589940631	5	0
3045	1384351662	-47535294	709327473	3	2
3044	1384344021	-47535294	709327473	0	0
3043	1384342696	-47535294	194378745	1	0
3041	1384341560	-47535294	709327473	2	0
3040	1384329153	-47535294	589940631	3	1
3039	1384327834	-47535294	10731911	9	2
3037	1384327434	-47535294	709327473	0	0
3036	1384326015	-47535294	709327473	0	0
3035	1384324590	-47535294	589940631	2	0
3033	1384322677	-47535294	194378745	2	1
3031	1384268912	-47535294	10731911	10	0
3030	1384266033	-47535294	194378745	4	3
3029	1384264765	-47535294	194378745	0	0
3028	1384263712	-47535294	709327473	0	0
3027	1384262412	-47535294	194378745	0	0
3026	1384259486	-47535294	194378745	1	0
3025	1384258554	-47535294	194378745	0	0
3024	1384258500	-47535294	589940631	2	1
3023	1384258209	-47535294	709327473	2	0
3022	1384257451	-47535294	194378745	0	0
3021	1384256955	-47535294	194378745	1	0
3020	1384254138	-47535294	10731911	17	0
3016	1384253287	-47535294	589940631	0	0
3015	1384252703	-47535294	194378745	14	4
3014	1384252380	-47535294	709327473	0	0
3013	1384251785	-47535294	589940631	0	0
3012	1384251633	-47535294	11313256	0	0
3011	1384247401	-47535294	589940631	0	0
3010	1384240759	-47535294	10731911	1	0
3008	1384235523	-47535294	194378745	2	0
3007	1384233846	-47535294	589940631	1	1
3000	1384169841	-47535294	589940631	3	0
2997	1384168044	-47535294	589940631	0	0
2994	1384165551	-47535294	589940631	15	7
2993	1384163375	-47535294	194378745	16	0
2992	1384160631	-47535294	709327473	3	2
2991	1384158132	-47535294	589940631	0	0
2990	1384158038	-47535294	194378745	2	1
2989	1384155364	-47535294	10731911	3	0
2988	1384148025	-47535294	194378745	2	0
2987	1384148017	-47535294	194378745	3	0
2986	1384147897	-47535294	589940631	1	0
2985	1384147872	-47535294	194378745	1	0
2980	1384092657	-47535294	10731911	13	0
2978	1383991363	-47535294	23401197	21	4
2976	1383932298	-47535294	589940631	2	0
2975	1383913753	-47535294	194378745	0	0
2974	1383912045	-47535294	589940631	4	0
2972	1383909646	-47535294	589940631	3	2
2971	1383909357	-47535294	29335941	0	0
2970	1383909321	-47535294	5095654	8	5
2969	1383909278	-47535294	589940631	1	0
2968	1383896529	-47535294	589940631	0	0
2962	1383891856	-47535294	194378745	0	0
2961	1383891763	-47535294	589940631	0	0
2960	1383890203	-47535294	589940631	0	0
2959	1383890030	-47535294	709327473	0	0
2957	1383843148	-47535294	709327473	3	0
2954	1383831672	-47535294	709327473	22	9
2952	1383824705	-47535294	589940631	0	1
2949	1383817910	-47535294	709327473	3	1
2947	1383815960	-47535294	709327473	3	0
2946	1383807869	-47535294	709327473	1	0
2945	1383807854	-47535294	709327473	0	0
2944	1383807816	-47535294	194378745	0	0
